Name,Status,Area,Priority,Phase,Notes
"Definir formato da pagina de jogo","Not started","Produto","High","MVP Web","Resultado, minuto, eventos e feed do Bilhas."
"Definir formato de comentario partilhavel","Not started","Produto","High","MVP Web","Cada comentario deve ter link proprio e preview bonito."
"Criar exemplos de cards para redes sociais","Not started","Produto","High","Prova Editorial","Cards para WhatsApp, Instagram, X e partilha nativa."
"Definir fluxo do admin editorial","Not started","Produto","High","MVP Web","Editor ve eventos, pede sugestoes AI, edita e publica."
"Definir estados de jogo","Not started","Produto","Medium","MVP Web","Agendado, ao vivo, intervalo, terminado, adiado."
"Definir niveis de intensidade do humor","Not started","Produto","High","AI Assistida","Leve, medio, forte, absurdo, sem politica."
"Criar manual de voz do Bilhas","Not started","Editorial","High","Prova Editorial","Tom, limites, exemplos bons e exemplos proibidos."
"Definir limites editoriais","Not started","Editorial","High","Prova Editorial","Sem racismo, xenofobia, homofobia, misoginia, deficiencia, doenca, tragedias reais, familia ou desejo de lesoes."
"Criar lista de temas permitidos","Not started","Editorial","Medium","Prova Editorial","Futebol, cultura pop, cinema, televisao, comida, politica leve e vida portuguesa."
"Criar 100 exemplos de comentarios","Not started","Editorial","High","Prova Editorial","Banco inicial para afinar o tom."
"Testar 1 jogo completo em modo manual","Not started","Editorial","High","Prova Editorial","Simular cobertura completa sem produto final."
"Testar Sportmonks","Not started","Dados","High","Prova Tecnica","Validar Primeira Liga, live events, latencia, custo e termos."
"Testar API-Football","Not started","Dados","High","Prova Tecnica","Validar Primeira Liga, live events, latencia, custo e termos."
"Testar football-data.org","Not started","Dados","Medium","Prova Tecnica","Bom candidato para prototipo se tiver cobertura suficiente."
"Comparar cobertura da Primeira Liga","Not started","Dados","High","Prova Tecnica","Calendario, golos, cartoes, substituicoes, minuto e lineups."
"Verificar termos de uso das APIs","Not started","Dados","High","Prova Tecnica","Evitar scraping e problemas legais."
"Definir estrategia de cache","Not started","Dados","Medium","MVP Web","Guardar estado live em Redis e historico em PostgreSQL."
"Definir fallback manual","Not started","Dados","Medium","MVP Web","Permitir corrigir resultado/eventos se API falhar."
"Criar prompt base do Bilhas","Not started","AI","High","AI Assistida","Prompt com tom, limites e contexto de jogo."
"Criar moderacao antes de publicar","Not started","AI","High","AI Assistida","AI sugere, humano aprova no inicio."
"Criar modo sem politica","Not started","AI","Medium","AI Assistida","Opcao editorial para jogos/situações sensiveis."
"Criar modo mais cultura pop","Not started","AI","Medium","AI Assistida","Piadas com cinema, TV, Natal, comida, burocracia e cultura portuguesa."
"Guardar comentarios rejeitados","Not started","AI","Medium","AI Assistida","Usar rejeicoes para melhorar prompts e guardrails."
"Escolher stack web","Not started","Tecnologia","High","MVP Web","Proposta: Next.js, PostgreSQL, Redis, workers."
"Criar API-first backend","Not started","Tecnologia","High","MVP Web","Preparar web, PWA e app futura."
"Criar base de dados PostgreSQL","Not started","Tecnologia","High","MVP Web","Modelos: jogos, equipas, eventos, comentarios, utilizadores."
"Criar Redis para cache/live state","Not started","Tecnologia","Medium","MVP Web","Estado live e filas simples."
"Criar worker de ingestion","Not started","Tecnologia","High","MVP Web","Vai buscar dados da API desportiva."
"Criar frontend mobile-first","Not started","Tecnologia","High","MVP Web","O uso principal sera telemovel e partilha."
"Criar admin protegido","Not started","Tecnologia","High","MVP Web","2FA, roles e audit log."
"Criar URLs curtas para comentarios","Not started","Tecnologia","High","MVP Web","Exemplo: /c/abc123."
"Criar Open Graph images dinamicas","Not started","Tecnologia","High","MVP Web","Preview bonito quando partilhado."
"Configurar Cloudflare WAF e rate limiting","Not started","DevOps","High","MVP Web","Seguranca de borda desde o inicio."
"Implementar 2FA obrigatorio no admin","Not started","DevOps","High","MVP Web","Controlo editorial seguro."
"Criar roles admin editor viewer","Not started","DevOps","High","MVP Web","Permissoes minimas."
"Criar audit log de publicacoes","Not started","DevOps","High","MVP Web","Saber quem publicou/editou o que."
"Criar backups automaticos","Not started","DevOps","High","MVP Web","PostgreSQL e ficheiros relevantes."
"Testar restore de backup","Not started","DevOps","High","MVP Web","Backup que nao foi testado ainda e teoria."
"Criar staging separado de producao","Not started","DevOps","Medium","MVP Web","Deploy seguro."
"Configurar secrets fora do codigo","Not started","DevOps","High","MVP Web","Tokens API, DB, AI e credenciais."
"Configurar Prometheus","Not started","Observabilidade","Medium","MVP Web","Metricas de app, workers e APIs externas."
"Configurar Grafana","Not started","Observabilidade","Medium","MVP Web","Dashboards tecnicos e produto."
"Configurar Loki","Not started","Observabilidade","Medium","MVP Web","Logs centralizados."
"Configurar Sentry","Not started","Observabilidade","Medium","MVP Web","Erros frontend/backend."
"Configurar OpenTelemetry","Not started","Observabilidade","Low","Pos-MVP","Traces quando a app ganhar complexidade."
